City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
282,Plettenberg Bay,ZA,-34.0527,23.3716,58.78,67,0,7.27,clear sky
283,Para De Minas,BR,-19.8603,-44.6083,68.32,95,98,1.88,overcast clouds
284,Verkhniy Avzyan,RU,53.5289,57.5372,36.66,99,100,3.98,overcast clouds
285,Khatanga,RU,71.9667,102.5,24.78,78,100,20.67,overcast clouds
286,Mount Gambier,AU,-37.8333,140.7667,51.71,76,40,20.71,scattered clouds
287,Lompoc,US,34.6391,-120.4579,56.52,93,100,3.0,overcast clouds
288,Luanda,AO,-8.8368,13.2343,76.44,84,84,5.61,broken clouds
289,Thunder Bay,CA,48.4001,-89.3168,37.38,87,100,2.3,overcast clouds
290,Half Moon Bay,US,37.4636,-122.4286,57.6,87,100,13.8,mist
291,Sembe,CG,1.6481,14.5806,68.54,98,98,0.67,light rain
292,Sakaiminato,JP,35.55,133.2333,64.33,63,75,3.44,broken clouds
293,Erenhot,CN,43.6475,111.9767,41.86,19,100,5.32,overcast clouds
294,Totness,SR,5.8833,-56.3167,77.29,89,87,9.66,overcast clouds
295,Bilibino,RU,68.0546,166.4372,-23.42,99,87,2.04,overcast clouds
296,Turtas,RU,58.9417,69.1325,35.83,95,100,9.6,light rain
297,Chimbote,PE,-9.0853,-78.5783,60.31,89,47,7.16,scattered clouds
298,Siocon,PH,7.7061,122.1353,87.71,63,93,6.24,overcast clouds
299,Coahuayana,MX,18.7333,-103.6833,72.81,93,3,3.04,clear sky
300,Imbituba,BR,-28.24,-48.6703,55.85,91,100,18.54,overcast clouds
301,Alice Springs,AU,-23.7,133.8833,76.55,20,0,11.5,clear sky
302,Vancouver,CA,49.2497,-123.1193,47.48,94,75,5.75,broken clouds
303,Cabo San Lucas,MX,22.8909,-109.9124,75.51,78,18,1.99,few clouds
304,Ternate,ID,0.8,127.4,85.82,67,49,7.31,scattered clouds
305,Nichinan,JP,31.6,131.3667,65.88,83,100,7.56,light rain
306,Hunterville,NZ,-39.9333,175.5667,61.7,61,0,8.19,clear sky
307,Kavieng,PG,-2.5744,150.7967,85.41,64,55,7.56,broken clouds
308,Olafsvik,IS,64.8945,-23.7142,44.2,93,100,2.82,overcast clouds
